id,ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to,created_at
200,TCKT-1200,Low,Resolved,Network,VPN connection problem,Automatically generated sample ticket record,2024-04-10,2024-04-18,Charlie,2024-04-10 00:00:00
201,TCKT-1201,High,Open,Network,Software installation issue,Automatically generated sample ticket record,2024-07-29,,Charlie,2024-07-29 00:00:00
202,TCKT-1202,Critical,Closed,Network,Printer not working,Automatically generated sample ticket record,2024-10-24,2024-10-26,Fatima,2024-10-24 00:00:00
203,TCKT-1203,Low,In Progress,Software,Email not syncing,Automatically generated sample ticket record,2024-05-14,,David,2024-05-14 00:00:00
204,TCKT-1204,Medium,In Progress,Security,Password reset request,Automatically generated sample ticket record,2024-03-15,,Hassan,2024-03-15 00:00:00
205,TCKT-1205,Medium,Open,Network,Antivirus alert,Automatically generated sample ticket record,2024-05-28,,David,2024-05-28 00:00:00
206,TCKT-1206,Medium,In Progress,Network,Printer not working,Automatically generated sample ticket record,2024-06-22,,Alice,2024-06-22 00:00:00
207,TCKT-1207,Critical,Closed,Hardware,Access denied error,Automatically generated sample ticket record,2024-08-15,2024-08-17,David,2024-08-15 00:00:00
208,TCKT-1208,Critical,Closed,Hardware,Email not syncing,Automatically generated sample ticket record,2024-01-04,2024-01-09,Bob,2024-01-04 00:00:00
209,TCKT-1209,Medium,In Progress,Hardware,Access denied error,Automatically generated sample ticket record,2024-03-02,,Hassan,2024-03-02 00:00:00
210,TCKT-1210,Medium,In Progress,Access,Access denied error,Automatically generated sample ticket record,2024-09-21,,Alice,2024-09-21 00:00:00
211,TCKT-1211,Medium,In Progress,Access,Laptop not starting,Automatically generated sample ticket record,2024-06-30,,Bob,2024-06-30 00:00:00
212,TCKT-1212,Low,Closed,Software,Password reset request,Automatically generated sample ticket record,2024-10-05,2024-10-06,Hassan,2024-10-05 00:00:00
213,TCKT-1213,Low,In Progress,Hardware,Antivirus alert,Automatically generated sample ticket record,2024-08-08,,Bob,2024-08-08 00:00:00
214,TCKT-1214,Critical,Closed,Network,Laptop not starting,Automatically generated sample ticket record,2024-02-02,2024-02-04,Ethan,2024-02-02 00:00:00
215,TCKT-1215,Critical,In Progress,Access,Email not syncing,Automatically generated sample ticket record,2024-01-28,,Hassan,2024-01-28 00:00:00
216,TCKT-1216,High,Open,Network,VPN connection problem,Automatically generated sample ticket record,2024-03-21,,Ethan,2024-03-21 00:00:00
217,TCKT-1217,Medium,Resolved,Network,VPN connection problem,Automatically generated sample ticket record,2024-05-09,2024-05-14,Hassan,2024-05-09 00:00:00
218,TCKT-1218,Medium,In Progress,Security,Antivirus alert,Automatically generated sample ticket record,2024-05-27,,Fatima,2024-05-27 00:00:00
219,TCKT-1219,Low,Closed,Hardware,VPN connection problem,Automatically generated sample ticket record,2024-09-29,2024-10-04,Bob,2024-09-29 00:00:00
220,TCKT-1220,Medium,Open,Hardware,Laptop not starting,Automatically generated sample ticket record,2024-03-08,,Hassan,2024-03-08 00:00:00
221,TCKT-1221,High,Closed,Hardware,Cannot connect to WiFi,Automatically generated sample ticket record,2024-08-19,2024-08-24,Hassan,2024-08-19 00:00:00
222,TCKT-1222,High,Open,Access,VPN connection problem,Automatically generated sample ticket record,2024-06-14,,David,2024-06-14 00:00:00
223,TCKT-1223,Low,In Progress,Software,Cannot connect to WiFi,Automatically generated sample ticket record,2024-03-06,,Fatima,2024-03-06 00:00:00
224,TCKT-1224,Medium,Open,Software,Email not syncing,Automatically generated sample ticket record,2024-07-03,,Fatima,2024-07-03 00:00:00
225,TCKT-1225,Medium,Closed,Security,Antivirus alert,Automatically generated sample ticket record,2024-06-18,2024-06-28,Alice,2024-06-18 00:00:00
226,TCKT-1226,Medium,Resolved,Hardware,Cannot connect to WiFi,Automatically generated sample ticket record,2024-02-17,2024-02-26,Hassan,2024-02-17 00:00:00
227,TCKT-1227,High,Closed,Access,Software installation issue,Automatically generated sample ticket record,2024-08-17,2024-08-21,Hassan,2024-08-17 00:00:00
228,TCKT-1228,Low,Closed,Access,Access denied error,Automatically generated sample ticket record,2024-03-01,2024-03-04,Hassan,2024-03-01 00:00:00
229,TCKT-1229,Medium,In Progress,Software,Printer not working,Automatically generated sample ticket record,2024-05-22,,Fatima,2024-05-22 00:00:00
230,TCKT-1230,Low,Open,Access,Printer not working,Automatically generated sample ticket record,2024-10-06,,David,2024-10-06 00:00:00
231,TCKT-1231,Critical,Open,Hardware,Access denied error,Automatically generated sample ticket record,2024-02-28,,Fatima,2024-02-28 00:00:00
232,TCKT-1232,Low,Closed,Security,Cannot connect to WiFi,Automatically generated sample ticket record,2024-02-21,2024-02-29,Bob,2024-02-21 00:00:00
233,TCKT-1233,High,Open,Security,Email not syncing,Automatically generated sample ticket record,2024-04-14,,Ethan,2024-04-14 00:00:00
234,TCKT-1234,High,Open,Network,Access denied error,Automatically generated sample ticket record,2024-10-08,,Ethan,2024-10-08 00:00:00
235,TCKT-1235,Low,Open,Network,System running slow,Automatically generated sample ticket record,2024-01-14,,David,2024-01-14 00:00:00
236,TCKT-1236,High,Open,Hardware,Printer not working,Automatically generated sample ticket record,2024-09-11,,Hassan,2024-09-11 00:00:00
237,TCKT-1237,Low,Open,Hardware,Antivirus alert,Automatically generated sample ticket record,2024-08-15,,Charlie,2024-08-15 00:00:00
238,TCKT-1238,Medium,Open,Security,Password reset request,Automatically generated sample ticket record,2024-07-13,,Alice,2024-07-13 00:00:00
239,TCKT-1239,Medium,In Progress,Hardware,VPN connection problem,Automatically generated sample ticket record,2024-10-16,,Charlie,2024-10-16 00:00:00
240,TCKT-1240,Medium,Open,Software,Email not syncing,Automatically generated sample ticket record,2024-04-03,,Ethan,2024-04-03 00:00:00
241,TCKT-1241,Low,Resolved,Network,Password reset request,Automatically generated sample ticket record,2024-09-11,2024-09-21,Charlie,2024-09-11 00:00:00
242,TCKT-1242,Medium,In Progress,Security,Password reset request,Automatically generated sample ticket record,2024-05-15,,Ethan,2024-05-15 00:00:00
243,TCKT-1243,Critical,Resolved,Hardware,Access denied error,Automatically generated sample ticket record,2024-04-18,2024-04-23,Bob,2024-04-18 00:00:00
244,TCKT-1244,High,Closed,Network,VPN connection problem,Automatically generated sample ticket record,2024-01-31,2024-02-01,Alice,2024-01-31 00:00:00
245,TCKT-1245,Low,Open,Access,Antivirus alert,Automatically generated sample ticket record,2024-03-25,,Fatima,2024-03-25 00:00:00
246,TCKT-1246,High,Resolved,Hardware,System running slow,Automatically generated sample ticket record,2024-08-06,2024-08-08,Bob,2024-08-06 00:00:00
247,TCKT-1247,High,In Progress,Access,VPN connection problem,Automatically generated sample ticket record,2024-06-21,,Hassan,2024-06-21 00:00:00
248,TCKT-1248,Medium,In Progress,Security,Antivirus alert,Automatically generated sample ticket record,2024-06-12,,Ethan,2024-06-12 00:00:00
249,TCKT-1249,Low,Closed,Security,Printer not working,Automatically generated sample ticket record,2024-09-01,2024-09-02,Charlie,2024-09-01 00:00:00
250,TCKT-1250,High,Resolved,Security,VPN connection problem,Automatically generated sample ticket record,2024-07-31,2024-08-07,Fatima,2024-07-31 00:00:00
251,TCKT-1251,Medium,Closed,Security,Password reset request,Automatically generated sample ticket record,2024-02-23,2024-02-28,Bob,2024-02-23 00:00:00
252,TCKT-1252,High,Open,Hardware,Cannot connect to WiFi,Automatically generated sample ticket record,2024-06-05,,Bob,2024-06-05 00:00:00
253,TCKT-1253,High,Open,Hardware,Laptop not starting,Automatically generated sample ticket record,2024-02-16,,Bob,2024-02-16 00:00:00
254,TCKT-1254,Medium,In Progress,Network,Antivirus alert,Automatically generated sample ticket record,2024-01-15,,Ethan,2024-01-15 00:00:00
255,TCKT-1255,High,Closed,Network,Email not syncing,Automatically generated sample ticket record,2024-06-14,2024-06-24,Bob,2024-06-14 00:00:00
256,TCKT-1256,Critical,Resolved,Security,VPN connection problem,Automatically generated sample ticket record,2024-05-24,2024-05-30,Alice,2024-05-24 00:00:00
257,TCKT-1257,Low,Open,Security,Access denied error,Automatically generated sample ticket record,2024-07-12,,Ethan,2024-07-12 00:00:00
258,TCKT-1258,Medium,Open,Security,VPN connection problem,Automatically generated sample ticket record,2024-03-07,,Fatima,2024-03-07 00:00:00
259,TCKT-1259,High,Open,Hardware,Antivirus alert,Automatically generated sample ticket record,2024-09-13,,Hassan,2024-09-13 00:00:00
260,TCKT-1260,Medium,Resolved,Security,Password reset request,Automatically generated sample ticket record,2024-02-21,2024-02-25,Charlie,2024-02-21 00:00:00
261,TCKT-1261,Medium,In Progress,Network,Cannot connect to WiFi,Automatically generated sample ticket record,2024-01-14,,Hassan,2024-01-14 00:00:00
262,TCKT-1262,High,Open,Access,Software installation issue,Automatically generated sample ticket record,2024-01-14,,David,2024-01-14 00:00:00
263,TCKT-1263,High,Resolved,Software,Antivirus alert,Automatically generated sample ticket record,2024-03-26,2024-03-28,Ethan,2024-03-26 00:00:00
264,TCKT-1264,High,Resolved,Software,Cannot connect to WiFi,Automatically generated sample ticket record,2024-08-06,2024-08-11,Charlie,2024-08-06 00:00:00
265,TCKT-1265,High,Open,Software,Access denied error,Automatically generated sample ticket record,2024-03-15,,Alice,2024-03-15 00:00:00
266,TCKT-1266,Critical,Resolved,Access,Cannot connect to WiFi,Automatically generated sample ticket record,2024-02-19,2024-02-24,David,2024-02-19 00:00:00
267,TCKT-1267,Low,Closed,Security,Cannot connect to WiFi,Automatically generated sample ticket record,2024-10-03,2024-10-13,Hassan,2024-10-03 00:00:00
268,TCKT-1268,High,In Progress,Access,Printer not working,Automatically generated sample ticket record,2024-09-19,,Ethan,2024-09-19 00:00:00
269,TCKT-1269,Critical,Open,Software,Printer not working,Automatically generated sample ticket record,2024-07-17,,Fatima,2024-07-17 00:00:00
270,TCKT-1270,Low,Closed,Network,Cannot connect to WiFi,Automatically generated sample ticket record,2024-03-03,2024-03-09,Hassan,2024-03-03 00:00:00
271,TCKT-1271,High,In Progress,Security,Laptop not starting,Automatically generated sample ticket record,2024-03-27,,Alice,2024-03-27 00:00:00
272,TCKT-1272,Medium,Closed,Security,Email not syncing,Automatically generated sample ticket record,2024-01-27,2024-01-30,Ethan,2024-01-27 00:00:00
273,TCKT-1273,Medium,Open,Access,Printer not working,Automatically generated sample ticket record,2024-03-27,,David,2024-03-27 00:00:00
274,TCKT-1274,Low,Closed,Access,Software installation issue,Automatically generated sample ticket record,2024-02-02,2024-02-12,Bob,2024-02-02 00:00:00
275,TCKT-1275,Low,Resolved,Security,Software installation issue,Automatically generated sample ticket record,2024-02-19,2024-02-29,Hassan,2024-02-19 00:00:00
276,TCKT-1276,High,Resolved,Network,Cannot connect to WiFi,Automatically generated sample ticket record,2024-02-12,2024-02-22,Hassan,2024-02-12 00:00:00
277,TCKT-1277,Critical,In Progress,Security,Software installation issue,Automatically generated sample ticket record,2024-03-11,,Charlie,2024-03-11 00:00:00
278,TCKT-1278,Medium,Open,Network,Antivirus alert,Automatically generated sample ticket record,2024-09-18,,Ethan,2024-09-18 00:00:00
279,TCKT-1279,High,Resolved,Software,Email not syncing,Automatically generated sample ticket record,2024-10-12,2024-10-22,Alice,2024-10-12 00:00:00
280,TCKT-1280,Medium,In Progress,Software,Laptop not starting,Automatically generated sample ticket record,2024-02-04,,Ethan,2024-02-04 00:00:00
281,TCKT-1281,High,Resolved,Access,Laptop not starting,Automatically generated sample ticket record,2024-02-12,2024-02-20,Bob,2024-02-12 00:00:00
282,TCKT-1282,Low,Resolved,Hardware,Password reset request,Automatically generated sample ticket record,2024-09-05,2024-09-13,Charlie,2024-09-05 00:00:00
283,TCKT-1283,Medium,Resolved,Network,Antivirus alert,Automatically generated sample ticket record,2024-09-06,2024-09-14,Bob,2024-09-06 00:00:00
284,TCKT-1284,Low,Closed,Software,Access denied error,Automatically generated sample ticket record,2024-07-14,2024-07-15,Bob,2024-07-14 00:00:00
285,TCKT-1285,Medium,Closed,Network,Cannot connect to WiFi,Automatically generated sample ticket record,2024-03-12,2024-03-13,Alice,2024-03-12 00:00:00
286,TCKT-1286,Critical,Open,Access,Access denied error,Automatically generated sample ticket record,2024-07-14,,Ethan,2024-07-14 00:00:00
287,TCKT-1287,Medium,Closed,Hardware,Cannot connect to WiFi,Automatically generated sample ticket record,2024-03-18,2024-03-20,Ethan,2024-03-18 00:00:00
288,TCKT-1288,High,In Progress,Security,Printer not working,Automatically generated sample ticket record,2024-02-04,,Fatima,2024-02-04 00:00:00
289,TCKT-1289,Low,Open,Network,Software installation issue,Automatically generated sample ticket record,2024-08-24,,David,2024-08-24 00:00:00
290,TCKT-1290,Critical,Open,Network,Cannot connect to WiFi,Automatically generated sample ticket record,2024-03-23,,Bob,2024-03-23 00:00:00
291,TCKT-1291,Medium,Open,Network,Password reset request,Automatically generated sample ticket record,2024-04-03,,Hassan,2024-04-03 00:00:00
292,TCKT-1292,Medium,Open,Security,Printer not working,Automatically generated sample ticket record,2024-09-01,,Bob,2024-09-01 00:00:00
293,TCKT-1293,Low,In Progress,Access,Antivirus alert,Automatically generated sample ticket record,2024-01-26,,Hassan,2024-01-26 00:00:00
294,TCKT-1294,High,In Progress,Security,VPN connection problem,Automatically generated sample ticket record,2024-02-04,,Alice,2024-02-04 00:00:00
295,TCKT-1295,Medium,In Progress,Software,System running slow,Automatically generated sample ticket record,2024-03-08,,Alice,2024-03-08 00:00:00
296,TCKT-1296,Low,Closed,Security,VPN connection problem,Automatically generated sample ticket record,2024-04-07,2024-04-15,Charlie,2024-04-07 00:00:00
297,TCKT-1297,Medium,In Progress,Access,Laptop not starting,Automatically generated sample ticket record,2024-09-22,,Bob,2024-09-22 00:00:00
298,TCKT-1298,Medium,In Progress,Software,Password reset request,Automatically generated sample ticket record,2024-08-22,,Fatima,2024-08-22 00:00:00
299,TCKT-1299,Critical,Closed,Security,Software installation issue,Automatically generated sample ticket record,2024-01-03,2024-01-04,David,2024-01-03 00:00:00
300,TCKT-1300,Critical,In Progress,Access,Antivirus alert,Automatically generated sample ticket record,2024-05-29,,Bob,2024-05-29 00:00:00
301,TCKT-1301,High,Resolved,Hardware,Cannot connect to WiFi,Automatically generated sample ticket record,2024-08-27,2024-08-31,Charlie,2024-08-27 00:00:00
302,TCKT-1302,Critical,Open,Security,System running slow,Automatically generated sample ticket record,2024-06-03,,Ethan,2024-06-03 00:00:00
303,TCKT-1303,Critical,Open,Network,VPN connection problem,Automatically generated sample ticket record,2024-06-30,,Bob,2024-06-30 00:00:00
304,TCKT-1304,Critical,Resolved,Network,VPN connection problem,Automatically generated sample ticket record,2024-07-22,2024-07-25,Charlie,2024-07-22 00:00:00
305,TCKT-1305,High,Open,Network,System running slow,Automatically generated sample ticket record,2024-05-22,,Bob,2024-05-22 00:00:00
306,TCKT-1306,Critical,Resolved,Hardware,Printer not working,Automatically generated sample ticket record,2024-08-27,2024-08-30,Hassan,2024-08-27 00:00:00
307,TCKT-1307,Medium,Closed,Software,Password reset request,Automatically generated sample ticket record,2024-10-05,2024-10-12,Alice,2024-10-05 00:00:00
308,TCKT-1308,High,In Progress,Security,Cannot connect to WiFi,Automatically generated sample ticket record,2024-09-10,,Ethan,2024-09-10 00:00:00
309,TCKT-1309,Low,Resolved,Software,Password reset request,Automatically generated sample ticket record,2024-05-27,2024-05-29,Alice,2024-05-27 00:00:00
310,TCKT-1310,Low,Resolved,Security,Cannot connect to WiFi,Automatically generated sample ticket record,2024-03-22,2024-03-28,Alice,2024-03-22 00:00:00
311,TCKT-1311,High,Resolved,Hardware,Software installation issue,Automatically generated sample ticket record,2024-08-25,2024-08-26,Bob,2024-08-25 00:00:00
312,TCKT-1312,Medium,Open,Software,Software installation issue,Automatically generated sample ticket record,2024-03-17,,Hassan,2024-03-17 00:00:00
313,TCKT-1313,Medium,Resolved,Hardware,Antivirus alert,Automatically generated sample ticket record,2024-09-13,2024-09-17,Fatima,2024-09-13 00:00:00
314,TCKT-1314,Low,Open,Access,Password reset request,Automatically generated sample ticket record,2024-01-10,,Hassan,2024-01-10 00:00:00
315,TCKT-1315,Medium,In Progress,Network,Cannot connect to WiFi,Automatically generated sample ticket record,2024-01-10,,Hassan,2024-01-10 00:00:00
316,TCKT-1316,Low,Resolved,Hardware,Software installation issue,Automatically generated sample ticket record,2024-04-25,2024-04-30,Fatima,2024-04-25 00:00:00
317,TCKT-1317,Critical,Closed,Security,Access denied error,Automatically generated sample ticket record,2024-06-02,2024-06-03,Alice,2024-06-02 00:00:00
318,TCKT-1318,Low,Closed,Software,Email not syncing,Automatically generated sample ticket record,2024-07-30,2024-08-08,Charlie,2024-07-30 00:00:00
319,TCKT-1319,High,Closed,Hardware,VPN connection problem,Automatically generated sample ticket record,2024-02-04,2024-02-05,Fatima,2024-02-04 00:00:00
320,TCKT-1320,Low,In Progress,Network,Password reset request,Automatically generated sample ticket record,2024-07-23,,Bob,2024-07-23 00:00:00
321,TCKT-1321,Medium,Open,Network,Printer not working,Automatically generated sample ticket record,2024-02-07,,Hassan,2024-02-07 00:00:00
322,TCKT-1322,Low,Open,Hardware,Antivirus alert,Automatically generated sample ticket record,2024-02-21,,Ethan,2024-02-21 00:00:00
323,TCKT-1323,Critical,In Progress,Software,Access denied error,Automatically generated sample ticket record,2024-04-23,,Fatima,2024-04-23 00:00:00
324,TCKT-1324,Critical,In Progress,Hardware,System running slow,Automatically generated sample ticket record,2024-06-04,,David,2024-06-04 00:00:00
325,TCKT-1325,High,Resolved,Access,Access denied error,Automatically generated sample ticket record,2024-02-19,2024-02-27,David,2024-02-19 00:00:00
326,TCKT-1326,Critical,Open,Security,Email not syncing,Automatically generated sample ticket record,2024-01-01,,Charlie,2024-01-01 00:00:00
327,TCKT-1327,Low,In Progress,Security,Access denied error,Automatically generated sample ticket record,2024-01-13,,Bob,2024-01-13 00:00:00
328,TCKT-1328,Critical,Resolved,Software,Printer not working,Automatically generated sample ticket record,2024-04-17,2024-04-27,Fatima,2024-04-17 00:00:00
329,TCKT-1329,Critical,Open,Hardware,Software installation issue,Automatically generated sample ticket record,2024-10-20,,Fatima,2024-10-20 00:00:00
330,TCKT-1330,Low,Closed,Access,Email not syncing,Automatically generated sample ticket record,2024-06-02,2024-06-09,Charlie,2024-06-02 00:00:00
331,TCKT-1331,High,Resolved,Access,Printer not working,Automatically generated sample ticket record,2024-04-06,2024-04-09,David,2024-04-06 00:00:00
332,TCKT-1332,High,Resolved,Software,System running slow,Automatically generated sample ticket record,2024-01-03,2024-01-08,Hassan,2024-01-03 00:00:00
333,TCKT-1333,Low,Closed,Software,System running slow,Automatically generated sample ticket record,2024-03-28,2024-04-06,Alice,2024-03-28 00:00:00
334,TCKT-1334,High,Closed,Network,Printer not working,Automatically generated sample ticket record,2024-04-25,2024-04-27,Hassan,2024-04-25 00:00:00
335,TCKT-1335,Medium,Open,Hardware,Access denied error,Automatically generated sample ticket record,2024-07-18,,Ethan,2024-07-18 00:00:00
336,TCKT-1336,Critical,In Progress,Network,Software installation issue,Automatically generated sample ticket record,2024-09-23,,Ethan,2024-09-23 00:00:00
337,TCKT-1337,Critical,Resolved,Network,Email not syncing,Automatically generated sample ticket record,2024-03-10,2024-03-14,Alice,2024-03-10 00:00:00
338,TCKT-1338,Low,Resolved,Hardware,Laptop not starting,Automatically generated sample ticket record,2024-06-18,2024-06-28,Bob,2024-06-18 00:00:00
339,TCKT-1339,High,Open,Hardware,Antivirus alert,Automatically generated sample ticket record,2024-04-13,,Hassan,2024-04-13 00:00:00
340,TCKT-1340,Medium,Resolved,Software,Email not syncing,Automatically generated sample ticket record,2024-06-30,2024-07-04,Ethan,2024-06-30 00:00:00
341,TCKT-1341,High,In Progress,Security,Printer not working,Automatically generated sample ticket record,2024-09-17,,Fatima,2024-09-17 00:00:00
342,TCKT-1342,Critical,Closed,Hardware,Software installation issue,Automatically generated sample ticket record,2024-10-11,2024-10-13,Hassan,2024-10-11 00:00:00
343,TCKT-1343,Low,Resolved,Network,Email not syncing,Automatically generated sample ticket record,2024-06-11,2024-06-16,Charlie,2024-06-11 00:00:00
344,TCKT-1344,Medium,Resolved,Software,Antivirus alert,Automatically generated sample ticket record,2024-10-11,2024-10-12,Charlie,2024-10-11 00:00:00
345,TCKT-1345,Critical,In Progress,Security,Access denied error,Automatically generated sample ticket record,2024-06-12,,Alice,2024-06-12 00:00:00
346,TCKT-1346,Critical,Closed,Access,Access denied error,Automatically generated sample ticket record,2024-06-20,2024-06-21,David,2024-06-20 00:00:00
347,TCKT-1347,Medium,Resolved,Network,VPN connection problem,Automatically generated sample ticket record,2024-08-08,2024-08-18,Bob,2024-08-08 00:00:00
348,TCKT-1348,Medium,Closed,Access,Software installation issue,Automatically generated sample ticket record,2024-05-05,2024-05-09,David,2024-05-05 00:00:00
349,TCKT-1349,Critical,Closed,Security,Access denied error,Automatically generated sample ticket record,2024-09-09,2024-09-18,Alice,2024-09-09 00:00:00
350,TCKT-1350,High,In Progress,Network,Password reset request,Automatically generated sample ticket record,2024-05-23,,Fatima,2024-05-23 00:00:00
351,TCKT-1351,High,In Progress,Access,Laptop not starting,Automatically generated sample ticket record,2024-01-18,,Alice,2024-01-18 00:00:00
352,TCKT-1352,Medium,Resolved,Hardware,Cannot connect to WiFi,Automatically generated sample ticket record,2024-09-22,2024-09-28,Hassan,2024-09-22 00:00:00
353,TCKT-1353,High,Open,Software,Laptop not starting,Automatically generated sample ticket record,2024-05-20,,Ethan,2024-05-20 00:00:00
354,TCKT-1354,Medium,In Progress,Access,Access denied error,Automatically generated sample ticket record,2024-06-26,,David,2024-06-26 00:00:00
355,TCKT-1355,High,In Progress,Software,Antivirus alert,Automatically generated sample ticket record,2024-08-01,,Ethan,2024-08-01 00:00:00
356,TCKT-1356,Low,Resolved,Access,Laptop not starting,Automatically generated sample ticket record,2024-09-01,2024-09-08,Hassan,2024-09-01 00:00:00
357,TCKT-1357,Critical,In Progress,Hardware,Access denied error,Automatically generated sample ticket record,2024-04-07,,David,2024-04-07 00:00:00
358,TCKT-1358,High,Closed,Hardware,Cannot connect to WiFi,Automatically generated sample ticket record,2024-09-21,2024-09-26,Bob,2024-09-21 00:00:00
359,TCKT-1359,High,In Progress,Access,Laptop not starting,Automatically generated sample ticket record,2024-08-26,,Fatima,2024-08-26 00:00:00
360,TCKT-1360,Low,Resolved,Software,VPN connection problem,Automatically generated sample ticket record,2024-08-05,2024-08-07,Alice,2024-08-05 00:00:00
361,TCKT-1361,Critical,Open,Hardware,Laptop not starting,Automatically generated sample ticket record,2024-05-17,,Ethan,2024-05-17 00:00:00
362,TCKT-1362,High,Resolved,Network,Antivirus alert,Automatically generated sample ticket record,2024-05-03,2024-05-11,Fatima,2024-05-03 00:00:00
363,TCKT-1363,Medium,In Progress,Hardware,Access denied error,Automatically generated sample ticket record,2024-05-03,,Alice,2024-05-03 00:00:00
364,TCKT-1364,Low,In Progress,Hardware,Printer not working,Automatically generated sample ticket record,2024-01-26,,Alice,2024-01-26 00:00:00
365,TCKT-1365,Low,Resolved,Security,Laptop not starting,Automatically generated sample ticket record,2024-06-06,2024-06-07,Hassan,2024-06-06 00:00:00
366,TCKT-1366,High,Open,Access,Access denied error,Automatically generated sample ticket record,2024-01-03,,Ethan,2024-01-03 00:00:00
367,TCKT-1367,Medium,Open,Security,Laptop not starting,Automatically generated sample ticket record,2024-05-08,,David,2024-05-08 00:00:00
368,TCKT-1368,High,In Progress,Access,Password reset request,Automatically generated sample ticket record,2024-09-06,,Ethan,2024-09-06 00:00:00
369,TCKT-1369,Low,Open,Security,Cannot connect to WiFi,Automatically generated sample ticket record,2024-06-12,,Alice,2024-06-12 00:00:00
370,TCKT-1370,Medium,Open,Access,Software installation issue,Automatically generated sample ticket record,2024-06-25,,Alice,2024-06-25 00:00:00
371,TCKT-1371,High,Closed,Security,Password reset request,Automatically generated sample ticket record,2024-06-05,2024-06-08,Ethan,2024-06-05 00:00:00
372,TCKT-1372,Low,Open,Hardware,System running slow,Automatically generated sample ticket record,2024-05-16,,Charlie,2024-05-16 00:00:00
373,TCKT-1373,Critical,In Progress,Network,Password reset request,Automatically generated sample ticket record,2024-03-14,,David,2024-03-14 00:00:00
374,TCKT-1374,High,Open,Hardware,Laptop not starting,Automatically generated sample ticket record,2024-01-03,,Charlie,2024-01-03 00:00:00
375,TCKT-1375,Critical,Resolved,Hardware,Printer not working,Automatically generated sample ticket record,2024-06-14,2024-06-19,Ethan,2024-06-14 00:00:00
376,TCKT-1376,High,Open,Hardware,Access denied error,Automatically generated sample ticket record,2024-04-29,,Charlie,2024-04-29 00:00:00
377,TCKT-1377,Low,Resolved,Software,Antivirus alert,Automatically generated sample ticket record,2024-05-17,2024-05-24,Hassan,2024-05-17 00:00:00
378,TCKT-1378,Low,Closed,Software,Antivirus alert,Automatically generated sample ticket record,2024-03-18,2024-03-26,Bob,2024-03-18 00:00:00
379,TCKT-1379,High,Open,Software,Software installation issue,Automatically generated sample ticket record,2024-05-05,,Fatima,2024-05-05 00:00:00
380,TCKT-1380,High,Open,Software,Email not syncing,Automatically generated sample ticket record,2024-05-27,,Charlie,2024-05-27 00:00:00
381,TCKT-1381,Critical,Closed,Access,Antivirus alert,Automatically generated sample ticket record,2024-10-05,2024-10-06,Ethan,2024-10-05 00:00:00
382,TCKT-1382,High,Closed,Security,System running slow,Automatically generated sample ticket record,2024-04-14,2024-04-20,Ethan,2024-04-14 00:00:00
383,TCKT-1383,Critical,In Progress,Network,Printer not working,Automatically generated sample ticket record,2024-06-17,,David,2024-06-17 00:00:00
384,TCKT-1384,High,In Progress,Hardware,Laptop not starting,Automatically generated sample ticket record,2024-09-11,,Bob,2024-09-11 00:00:00
385,TCKT-1385,Critical,In Progress,Hardware,Laptop not starting,Automatically generated sample ticket record,2024-03-26,,Hassan,2024-03-26 00:00:00
386,TCKT-1386,High,Open,Access,System running slow,Automatically generated sample ticket record,2024-07-05,,David,2024-07-05 00:00:00
387,TCKT-1387,High,In Progress,Software,Software installation issue,Automatically generated sample ticket record,2024-07-09,,Bob,2024-07-09 00:00:00
388,TCKT-1388,Critical,Closed,Security,Antivirus alert,Automatically generated sample ticket record,2024-08-29,2024-09-04,Fatima,2024-08-29 00:00:00
389,TCKT-1389,Critical,Resolved,Security,Password reset request,Automatically generated sample ticket record,2024-06-21,2024-06-22,Fatima,2024-06-21 00:00:00
390,TCKT-1390,Critical,Open,Access,VPN connection problem,Automatically generated sample ticket record,2024-05-31,,David,2024-05-31 00:00:00
391,TCKT-1391,Critical,Closed,Network,Software installation issue,Automatically generated sample ticket record,2024-10-20,2024-10-29,Ethan,2024-10-20 00:00:00
392,TCKT-1392,High,In Progress,Access,Password reset request,Automatically generated sample ticket record,2024-02-06,,Fatima,2024-02-06 00:00:00
393,TCKT-1393,Low,Closed,Access,System running slow,Automatically generated sample ticket record,2024-08-10,2024-08-16,Alice,2024-08-10 00:00:00
394,TCKT-1394,Medium,Closed,Access,Antivirus alert,Automatically generated sample ticket record,2024-03-16,2024-03-19,Ethan,2024-03-16 00:00:00
395,TCKT-1395,Critical,In Progress,Hardware,Printer not working,Automatically generated sample ticket record,2024-10-04,,Hassan,2024-10-04 00:00:00
396,TCKT-1396,Low,In Progress,Software,Antivirus alert,Automatically generated sample ticket record,2024-09-16,,Hassan,2024-09-16 00:00:00
397,TCKT-1397,Medium,Closed,Network,Software installation issue,Automatically generated sample ticket record,2024-05-14,2024-05-16,Charlie,2024-05-14 00:00:00
398,TCKT-1398,High,Closed,Network,Password reset request,Automatically generated sample ticket record,2024-10-25,2024-10-26,Fatima,2024-10-25 00:00:00
399,TCKT-1399,Medium,Resolved,Access,VPN connection problem,Automatically generated sample ticket record,2024-06-01,2024-06-11,Alice,2024-06-01 00:00:00
400,TCKT-1400,Low,Open,Hardware,Antivirus alert,Automatically generated sample ticket record,2024-07-26,,Ethan,2024-07-26 00:00:00
